countries,opening_stock,crop_export
Angola,5,10.3874
Brazil,9832,37613.8836
Burundi,10,179.9206
Ecuador,3,446.0001
Indonesia,400,4717.5942
Madagascar,10,21.3764
Papua New Guinea,5,928.369
Peru,40,4001.3391
Rwanda,10,266.9949
Dominican Republic,30,35.9097
Tanzania,25,1082.8593
Cameroon,10,187.2974
Colombia,978,13501.552
Costa Rica,118,1091.6568
Côte d'Ivoire,150,1952.343
Democratic Republic of Congo,3,160.7167
El Salvador,15,559.9228
Ethiopia,625,3801.2234
Ghana,2,12.9324
Guatemala,5,3606.7343
Guinea,20,188.4237
Honduras,234,6811.8803
India,500,6022.392
Kenya,33,843.4196
Mexico,800,2676.7012
Nepal,0.9,1.5912
Nicaragua,100,2500.2795
Panama,5,62.3021
Sierra Leone,7,27.9901
Thailand,10,180.0069
Togo,10,79.0779
Uganda,900,4453.964
Viet Nam,4000,26474.0742
